timestamp,speed_kmh,throttle,brake,steer
1747712993.1259341,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.13602,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.1461184,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.1561604,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.166694,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.1767442,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.1868212,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.196864,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.2069435,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.2174423,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.227496,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.2380207,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.248542,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.2590673,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.269591,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.280131,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.2901707,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.300218,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.3107407,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.3209054,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.3311768,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.341279,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.351791,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.3622906,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.3723564,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.3823934,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.3925877,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.4026282,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.4131103,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.4231877,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.4334612,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.443514,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.4540577,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.4645634,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.475082,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.485599,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.4957805,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.5061183,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.5163107,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.526405,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.5368764,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.547379,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.5574148,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.567455,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.5779595,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.5884874,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.5990067,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.6095345,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.6200483,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.630079,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.6401165,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.6501946,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.6602511,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.6702945,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.6803286,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.690727,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.701251,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7117903,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7218473,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7318892,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7423847,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7524188,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7624705,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.772533,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7830331,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.7936285,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.80415,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.8146653,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.8252342,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.8357399,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.846292,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.8568468,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.8673568,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.877875,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.8879373,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.8984287,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.9085166,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.9190729,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.929177,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.9396853,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.9498074,69.01533508300781,0.0,0.0,0.003999999724328518
1747712993.9602933,69.01533508300781,0.0,0.0,0.003999999724328518
